variable,entry,seed,trained,delta
Has_Payment_Clause,0,0.6,0.46078431372549017,-0.1392156862745098
Has_Payment_Clause,1,0.4,0.5392156862745098,0.13921568627450975
Has_Termination_Clause,0,0.5,0.32107843137254904,-0.17892156862745096
Has_Termination_Clause,1,0.5,0.678921568627451,0.178921568627451
Has_Liability_Clause,0,0.55,0.35049019607843135,-0.1995098039215687
Has_Liability_Clause,1,0.45,0.6495098039215687,0.19950980392156864
Has_Confidentiality_Clause,0,0.45,0.44362745098039214,-0.006372549019607876
Has_Confidentiality_Clause,1,0.55,0.5563725490196079,0.0063725490196078205
Has_Dispute_Resolution_Clause,0,0.5,0.12009803921568628,-0.3799019607843137
Has_Dispute_Resolution_Clause,1,0.5,0.8799019607843137,0.3799019607843137
Payment_Or_Termination_Risky,0,0.75,1.0,0.25
Payment_Or_Termination_Risky,1,0.6,0.0,-0.6
Payment_Or_Termination_Risky,2,0.55,0.0,-0.55
Payment_Or_Termination_Risky,3,0.15,0.0,-0.15
Payment_Or_Termination_Risky,4,0.25,0.0,-0.25
Payment_Or_Termination_Risky,5,0.4,1.0,0.6
Payment_Or_Termination_Risky,6,0.45,1.0,0.55
Payment_Or_Termination_Risky,7,0.85,1.0,0.15000000000000002
Liability_Or_Confidentiality_Risky,0,0.8,1.0,0.19999999999999996
Liability_Or_Confidentiality_Risky,1,0.65,0.0,-0.65
Liability_Or_Confidentiality_Risky,2,0.6,0.0,-0.6
Liability_Or_Confidentiality_Risky,3,0.2,0.0,-0.2
Liability_Or_Confidentiality_Risky,4,0.2,0.0,-0.2
Liability_Or_Confidentiality_Risky,5,0.35,1.0,0.65
Liability_Or_Confidentiality_Risky,6,0.4,1.0,0.6
Liability_Or_Confidentiality_Risky,7,0.8,1.0,0.19999999999999996
Cross_Clause_Conflict,0,0.8,0.0,-0.8
Cross_Clause_Conflict,1,0.92,0.8181818181818182,-0.10181818181818181
Cross_Clause_Conflict,2,0.5,0.5,0.0
Cross_Clause_Conflict,3,0.68,1.0,0.31999999999999995
Cross_Clause_Conflict,4,0.45,0.0,-0.45
Cross_Clause_Conflict,5,0.62,0.0,-0.62
Cross_Clause_Conflict,6,0.15,0.0,-0.15
Cross_Clause_Conflict,7,0.3,1.0,0.7
Cross_Clause_Conflict,8,0.2,1.0,0.8
Cross_Clause_Conflict,9,0.08,0.18181818181818182,0.10181818181818182
Cross_Clause_Conflict,10,0.5,0.5,0.0
Cross_Clause_Conflict,11,0.32,0.0,-0.32
Cross_Clause_Conflict,12,0.55,1.0,0.44999999999999996
Cross_Clause_Conflict,13,0.38,1.0,0.62
Cross_Clause_Conflict,14,0.85,1.0,0.15000000000000002
Cross_Clause_Conflict,15,0.7,0.0,-0.7
Contract_Risk_Level,0,0.05,0.7942238267148014,0.7442238267148014
Contract_Risk_Level,1,0.55,0.0,-0.55
Contract_Risk_Level,2,0.2,0.0,-0.2
Contract_Risk_Level,3,0.35,0.7480916030534351,0.39809160305343516
Contract_Risk_Level,4,0.75,0.20577617328519857,-0.5442238267148014
Contract_Risk_Level,5,0.1,0.25190839694656486,0.15190839694656486
